key,SSArat,treatments,broad,hemisphere,sym,Z,FR,spk,win,BL_FR,BL_spk,PIRrat,PIRFR
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&167&15&good,1.365751681,T1,1,L,0.197150604,NaN,3.464105955,2.658333333,0.774319991,1.6,1.6,1.6875,2.7
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&38&16&good,0.75851051,T1,0,L,0.399965998,NaN,1.636087139,1.275,0.774319991,1,1,0.6,0.6
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&4&16&good,0.606096488,T1,1,L,0.206646904,NaN,1.765315719,1.375,0.774319991,0.925,0.925,2.054054054,1.9
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&47&9&good,0.771621291,T1,0,L,0.311588397,NaN,1.172300559,0.908333333,0.774319991,0.125,0.125,0,0
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&65&9&good,0.559572072,T1,1,L,0.277045159,NaN,2.160376807,1.620833333,0.774319991,0.2,0.2,4.5,0.9
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&66&10&good,0.635979963,T1,1,L,0.332236985,NaN,8.913169714,7.025,0.774319991,3.5,3.5,2.028571429,7.1
DJPComb_mdb 9 14 19 fem return_190914_155145_Kilosort&85&2&good,0.573251351,T1,0,L,0.474235048,1.005748549,11.5873675,5.624,0.485615202,4.24,4.24,1.169811321,4.96
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&63&15&good,0.433654944,T1,1,L,0.34147659,0.530766723,1.508267115,1.344,0.888536711,0.84,0.84,1.142857143,0.96
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&84&13&good,1.229413341,T1,0,L,0.246427282,1.262185616,30.94046148,27.66,0.888536711,15.76,15.76,1.106598985,17.44
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&86&15&good,0.802686948,T1,0,L,0.350491659,-0.082111985,6.719229077,6,0.888536711,2.98,2.98,0.993288591,2.96
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&12&5&good,0.54489654,T1,1,R,0.25650893,-1.506166958,2.378138642,2.224,0.918783231,4.28,4.28,1.869158879,8
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&17&9&good,1.202374876,T1,0,R,0.408830266,1.238346988,4.95719474,4.532,0.918783231,0.92,0.92,0.608695652,0.56
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&21&9&good,0.39113455,T1,1,R,0.35585224,2.63971661,5.554887625,5.08,0.918783231,3.12,3.12,0.794871795,2.48
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&3&8&good,0.477574486,T1,1,R,0.229026405,-1.069651674,3.570253114,3.412,0.918783231,9.4,9.4,1.676595745,15.76
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&43&10&good,0.842730408,T1,0,R,0.67010587,3.02929335,33.97881733,31.176,0.918783231,12.78,12.78,0.513302034,6.56
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&6&15&good,0.622247292,T1,0,R,0.452010899,-0.367338975,2.993849257,2.728,0.918783231,5.14,5.14,0.451361868,2.32
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&115&16&good,0.885330485,T1,1,R,0.3099452,1.450116569,5.524720497,5.004,0.918783231,0.92,0.92,0.347826087,0.32
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&192&14&good,4.255807569,T1,1,R,0.315482421,-1.14944858,0.655607123,0.608,0.918783231,2.52,2.52,0.253968254,0.64
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&269&7&good,0.819578672,T1,1,R,0.292036206,4.917938442,40.36320064,36.696,0.918783231,22.54,22.54,1.465838509,33.04
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&271&7&good,0.445937175,T1,1,R,0.227611786,-1.24311511,6.099709068,5.58,0.918783231,14.6,14.6,1.084931507,15.84
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&278&13&good,0.559616406,T1,0,R,0.287106599,-0.291714705,11.44563837,10.444,0.918783231,15.32,15.32,0.877284595,13.44
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&74&12&good,0.758819927,T1,1,R,0.279316645,0.817552208,2.687195944,2.452,0.918783231,1.1,1.1,1.527272727,1.68
DJPComb_mde 10 17 19 fem return again_191017_142603_Kilosort&222&5&good,0.565976289,T1,1,R,0.220119601,-0.941890503,3.064543175,2.884,0.918783231,4.72,4.72,2.186440678,10.32
DJPComb_mde 10 17 19 fem return again_191017_142603_Kilosort&236&7&good,0.25,T1,1,R,0.263191666,-0.707106781,0.233573784,0.22,0.918783231,0.88,0.88,4.454545455,3.92
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&167&15&good,1.365751681,T2,1,L,0.197150604,NaN,7.6033021,4,0.526087211,4,24,1,4
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&38&16&good,0.75851051,T2,0,L,0.399965998,NaN,1.900825525,1,0.526087211,1,6,0,0
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&4&16&good,0.606096488,T2,1,L,0.206646904,NaN,3.80165105,2,0.526087211,2,12,0,0
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&47&9&good,0.771621291,T2,0,L,0.311588397,NaN,0,0,0.526087211,1.333333333,8,3,4
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&65&9&good,0.559572072,T2,1,L,0.277045159,NaN,3.80165105,2,0.526087211,0.833333333,5,0,0
DJPComb_mda 8 27 19 habituation_190827_134018_Kilosort&66&10&good,0.635979963,T2,1,L,0.332236985,NaN,15.2066042,8,0.526087211,9.666666667,58,0.413793103,4
DJPComb_mdb 9 14 19 fem return_190914_155145_Kilosort&85&2&good,0.573251351,T2,0,L,0.474235048,-0.128986086,4.503125569,2.083333333,0.479706173,5,30,0.8,4
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&63&15&good,0.433654944,T2,1,L,0.34147659,1.160460418,2.853222873,2.25,0.795038206,1.333333333,8,3,4
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&84&13&good,1.229413341,T2,0,L,0.246427282,1.081112168,29.68840805,23.75,0.795038206,22.16666667,133,1.082706767,24
DJPComb_mdc 9 30 19 fem return_190930_163910_Kilosort&86&15&good,0.802686948,T2,0,L,0.350491659,1.733216634,9.437836526,7.75,0.795038206,5,30,2.4,12
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&12&5&good,0.54489654,T2,1,R,0.25650893,-0.142614143,5.578420784,2.833333333,0.545937281,6,36,1.333333333,8
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&17&9&good,1.202374876,T2,0,R,0.408830266,1.891701689,12.56968809,6.666666667,0.545937281,3,18,0,0
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&21&9&good,0.39113455,T2,1,R,0.35585224,0.089661109,6.193300308,3.5,0.545937281,5.666666667,34,0.705882353,4
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&3&8&good,0.477574486,T2,1,R,0.229026405,-2.172882996,4.155208033,2.333333333,0.545937281,10.33333333,62,1.161290323,12
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&43&10&good,0.842730408,T2,0,R,0.67010587,5.205030497,77.5207528,42,0.545937281,12.5,75,0.32,4
DJPComb_mde 10 12 19 fem return_191012_121235_Kilosortcombined&6&15&good,0.622247292,T2,0,R,0.452010899,1.809142187,10.7660162,6.166666667,0.545937281,2.666666667,16,1.5,4
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&115&16&good,0.885330485,T2,1,R,0.3099452,12.4835006,10.62881653,7.333333333,0.683306732,3.833333333,23,0,0
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&192&14&good,4.255807569,T2,1,R,0.315482421,0.557188906,3.734543856,2.333333333,0.683306732,2.5,15,0,0
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&269&7&good,0.819578672,T2,1,R,0.292036206,0.645159413,50.21240613,35.66666667,0.683306732,44.33333333,266,0.180451128,8
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&271&7&good,0.445937175,T2,1,R,0.227611786,-4.049739435,6.582246107,4.333333333,0.683306732,13.16666667,79,0.303797468,4
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&278&13&good,0.559616406,T2,0,R,0.287106599,10.46859056,35.53158631,24.33333333,0.683306732,14.16666667,85,0.564705882,8
DJPComb_mde 10 13 19 fem return_191013_172903_Kilosort&74&12&good,0.758819927,T2,1,R,0.279316645,-2.871523257,1.648834084,1,0.683306732,3.833333333,23,0,0
DJPComb_mde 10 17 19 fem return again_191017_142603_Kilosort&222&5&good,0.565976289,T2,1,R,0.220119601,0.019117104,6.742666334,5.090909091,0.750213691,6.666666667,40,2.4,16
DJPComb_mde 10 17 19 fem return again_191017_142603_Kilosort&236&7&good,0.25,T2,1,R,0.263191666,-0.164535245,0.532910183,0.363636364,0.750213691,0.666666667,4,0,0
