keys,broad,hemisphere,treatment,BOS,CON,WN,BOS_REV
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&12&7&good,1,L,T1,1,0,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&146&9&good,1,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T1,1,1,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T1,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T1,1,1,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&96&11&good,1,L,T1,1,1,1,0
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T1,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T1,1,1,0,1
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&87&7&good,1,R,T1,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&13&9&good,1,L,T1,1,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T1,1,1,1,1
DJPComb_mdx 11 1 18_181101_221336_Kilosort&71&9&good,0,R,T1,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&12&7&good,1,L,T1,1,0,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&138&4&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&143&8&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&146&9&good,1,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T1,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T1,1,1,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T1,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T1,1,1,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&12&7&good,1,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T2,0,0,1,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&146&9&good,1,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T2,1,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T2,1,1,0,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T2,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T2,1,1,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T2,0,0,1,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T2,1,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T2,1,1,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&96&11&good,1,L,T2,0,0,0,0
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T2,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T2,1,1,0,1
DJPComb_mdx 11 17 18 habit_181107_204711_Kilosort&87&7&good,1,R,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&13&9&good,1,L,T2,1,0,0,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T2,0,0,1,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T2,1,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T2,1,1,0,1
DJPComb_mdx 11 1 18_181101_221336_Kilosort&71&9&good,0,R,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&12&7&good,1,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&135&7&good,0,L,T2,0,0,1,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&138&4&good,0,L,T2,1,1,1,1
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&143&8&good,0,L,T2,0,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&146&9&good,1,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&54&3&good,0,L,T2,1,1,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&58&6&good,0,L,T2,0,0,0,0
DJPComb_mdy 11 17 18 new idea trial 1_181117_112506_Kilosort&63&13&good,0,L,T2,1,1,0,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&159&7&good,0,L,T2,1,0,1,1
DJPComb_mdy 12 4 18 new idea trial 1_181204_182422_Kilosort&165&1&good,0,L,T2,1,1,0,1
